Rank	Article	href													Views	 %-Mobi	 %-Zero
234	PeerTracker	/wiki/PeerTracker								Symbol question.svg					125,961	0.01%	0.00%
235	Jennifer Aniston	/wiki/Jennifer_Aniston				Symbol b class.svg							Padlock-silver.svg	Padlock-olive.svg	125,890	78.51%	0.49%
236	Bijou Phillips	/wiki/Bijou_Phillips						Symbol start class.svg							125,361	67.83%	0.09%
237	Hamilton (musical)	/wiki/Hamilton_(musical)					Symbol c class.svg						Padlock-silver.svg		125,345	50.43%	0.06%
238	Wonder (Palacio novel)	/wiki/Wonder_(Palacio_novel)						Symbol start class.svg	Symbol stub class.svg						125,189	71.47%	0.12%
239	Alauddin Khalji	/wiki/Alauddin_Khalji						Symbol start class.svg							125,130	72.94%	0.60%
240	Ted Kaczynski	/wiki/Ted_Kaczynski		Symbol support vote.svg									Padlock-silver-light.svg		125,089	76.30%	0.11%
241	Andrew Cunanan	/wiki/Andrew_Cunanan				Symbol b class.svg	Symbol c class.svg								125,046	70.93%	0.12%
242	Stephen Hawking	/wiki/Stephen_Hawking				Symbol b class.svg	Symbol c class.svg				Featured article star - cross.svg		Padlock-silver.svg		124,744	68.99%	1.62%
243	Taika Waititi	/wiki/Taika_Waititi						Symbol start class.svg							124,483	59.50%	0.31%
244	Gian Piero Ventura	/wiki/Gian_Piero_Ventura						Symbol start class.svg					Padlock-silver.svg		123,882	51.45%	0.77%
245	Harvey Weinstein	/wiki/Harvey_Weinstein				Symbol b class.svg							Padlock-silver.svg		123,764	60.39%	0.34%
246	Albert Einstein	/wiki/Albert_Einstein		Symbol support vote.svg							Featured article star - cross.svg		Padlock-silver.svg	Padlock-olive.svg	123,738	56.17%	1.35%
247	Elvis Presley	/wiki/Elvis_Presley	Featured article star.svg										Padlock-silver.svg	Padlock-olive.svg	123,613	67.47%	0.41%
248	Justin Bieber	/wiki/Justin_Bieber				Symbol b class.svg	Symbol c class.svg						Padlock-silver.svg	Padlock-olive.svg	123,137	70.88%	1.55%
249	Joel Embiid	/wiki/Joel_Embiid						Symbol start class.svg					Padlock-silver.svg		122,685	70.18%	0.27%
250	Duffer Brothers	/wiki/Duffer_Brothers						Symbol start class.svg							122,126	72.92%	0.17%
251	Cate Blanchett	/wiki/Cate_Blanchett				Symbol b class.svg									121,850	68.05%	0.57%
252	Document Object Model	/wiki/Document_Object_Model						Symbol start class.svg							121,059	1.22%	0.03%
253	Tessa Thompson	/wiki/Tessa_Thompson						Symbol start class.svg							120,865	67.67%	0.47%
254	Russia	/wiki/Russia				Symbol b class.svg	Symbol c class.svg					Symbol unsupport vote.svg	Padlock-silver.svg	Padlock-olive.svg	120,584	47.99%	1.15%
255	UFC Fight Night: Werdum vs. Tybura	/wiki/UFC_Fight_Night:_Werdum_vs._Tybura							Symbol stub class.svg						120,071	53.83%	0.27%
256	Time travel claims and urban legends	/wiki/Time_travel_claims_and_urban_legends					Symbol c class.svg	Symbol start class.svg							119,915	82.94%	0.32%
257	The Orville	/wiki/The_Orville						Symbol start class.svg							119,836	43.57%	0.21%
258	Shaadi Mein Zaroor Aana	/wiki/Shaadi_Mein_Zaroor_Aana							Symbol stub class.svg						119,668	73.10%	0.79%
259	The Gifted (TV series)	/wiki/The_Gifted_(TV_series)					Symbol c class.svg								119,293	49.79%	0.70%
260	2018 FIFA World Cup qualification (UEFA)	/wiki/2018_FIFA_World_Cup_qualification_(UEFA)						Symbol start class.svg							119,038	44.35%	0.97%
261	Salvatore Riina	/wiki/Salvatore_Riina				Symbol b class.svg	Symbol c class.svg			Symbol question.svg					118,778	52.17%	0.85%
262	Henry Cavill	/wiki/Henry_Cavill						Symbol start class.svg							118,342	67.96%	0.61%
263	Sam Smith (singer)	/wiki/Sam_Smith_(singer)					Symbol c class.svg						Padlock-silver.svg		118,262	65.05%	0.56%
264	Fentanyl	/wiki/Fentanyl				Symbol b class.svg		Symbol start class.svg							118,131	67.58%	0.26%
265	XXXTentacion	/wiki/XXXTentacion						Symbol start class.svg					Padlock-silver.svg		117,771	67.78%	0.68%
266	Alias Grace (miniseries)	/wiki/Alias_Grace_(miniseries)							Symbol stub class.svg						117,550	68.16%	0.10%
267	Lonzo Ball	/wiki/Lonzo_Ball					Symbol c class.svg						Padlock-silver.svg		117,536	69.33%	0.31%
268	Mark Wahlberg	/wiki/Mark_Wahlberg					Symbol c class.svg								117,247	74.46%	0.34%
269	The X Factor (UK series 14)	/wiki/The_X_Factor_(UK_series_14)						Symbol start class.svg					Padlock-silver.svg		117,153	58.90%	0.54%
270	Daddy's Home 2	/wiki/Daddy%27s_Home_2						Symbol start class.svg					Padlock-silver.svg		116,547	60.82%	0.48%
271	Tate murders	/wiki/Tate_murders													116,525	67.45%	0.20%
272	LaVar Ball	/wiki/LaVar_Ball						Symbol start class.svg		Symbol question.svg			Padlock-silver.svg		116,305	66.63%	0.16%
273	Blockchain	/wiki/Blockchain					Symbol c class.svg								116,130	37.54%	0.53%
274	Future Man (TV series)	/wiki/Future_Man_(TV_series)													116,011	48.73%	0.28%
275	John F. Kennedy	/wiki/John_F._Kennedy					Symbol c class.svg						Padlock-silver.svg	Padlock-olive.svg	115,943	57.41%	0.60%
276	Jeff Sessions	/wiki/Jeff_Sessions				Symbol b class.svg		Symbol start class.svg					Padlock-silver.svg		115,858	62.00%	0.12%
277	Inhumans (TV series)	/wiki/Inhumans_(TV_series)					Symbol c class.svg								115,801	44.11%	1.11%
278	New York City	/wiki/New_York_City				Symbol b class.svg	Symbol c class.svg				Featured article star - cross.svg		Padlock-silver.svg		115,789	48.14%	0.86%
279	List of highest-grossing films	/wiki/List_of_highest-grossing_films	Featured article star.svg										Padlock-silver.svg		115,684	60.17%	0.96%
280	Bruce Lee	/wiki/Bruce_Lee				Symbol b class.svg	Symbol c class.svg			Symbol question.svg			Padlock-silver.svg	Padlock-olive.svg	115,518	71.79%	1.19%
281	Corey Haim	/wiki/Corey_Haim					Symbol c class.svg								115,344	71.88%	0.16%
282	Noah Schnapp	/wiki/Noah_Schnapp							Symbol stub class.svg				Padlock-silver.svg		115,052	75.81%	0.24%
283	Kriti Kharbanda	/wiki/Kriti_Kharbanda						Symbol start class.svg							115,010	74.73%	0.60%
284	Kenneth Branagh	/wiki/Kenneth_Branagh					Symbol c class.svg								114,553	63.24%	0.25%
285	Genghis Khan	/wiki/Genghis_Khan					Symbol c class.svg						Padlock-silver.svg	Padlock-olive.svg	114,150	37.40%	0.41%
286	Steve Jobs	/wiki/Steve_Jobs				Symbol b class.svg	Symbol c class.svg						Padlock-silver.svg		114,130	56.27%	1.12%
287	List of Miss World titleholders	/wiki/List_of_Miss_World_titleholders													114,084	86.05%	0.75%
288	2014 FIFA World Cup	/wiki/2014_FIFA_World_Cup					Symbol c class.svg								113,826	49.73%	1.09%
289	BTS (band)	/wiki/BTS_(band)					Symbol c class.svg						Padlock-silver.svg		113,350	58.66%	0.50%
290	Thor (film)	/wiki/Thor_(film)		Symbol support vote.svg											113,294	60.60%	0.69%
291	Spider-Man: Homecoming	/wiki/Spider-Man:_Homecoming		Symbol support vote.svg									Padlock-silver.svg		112,356	56.01%	0.89%
292	Winston Churchill	/wiki/Winston_Churchill				Symbol b class.svg	Symbol c class.svg					Symbol unsupport vote.svg	Padlock-silver.svg	Padlock-olive.svg	112,314	62.31%	0.43%
293	Roger Federer	/wiki/Roger_Federer		Symbol support vote.svg											112,303	43.04%	0.48%
294	George VI	/wiki/George_VI	Featured article star.svg												112,202	69.87%	0.37%
295	2017 NBA draft	/wiki/2017_NBA_draft													111,825	61.59%	0.21%
296	Harry Potter	/wiki/Harry_Potter		Symbol support vote.svg									Padlock-silver.svg		111,518	64.43%	0.70%
297	Tom Brady	/wiki/Tom_Brady				Symbol b class.svg						Symbol unsupport vote.svg	Padlock-silver.svg		111,504	74.51%	0.15%
298	Meek Mill	/wiki/Meek_Mill					Symbol c class.svg						Padlock-silver.svg		111,498	75.90%	1.15%
299	Serena Williams	/wiki/Serena_Williams				Symbol b class.svg	Symbol c class.svg								111,255	68.97%	1.50%
300	Rhodesia	/wiki/Rhodesia				Symbol b class.svg	Symbol c class.svg								110,992	51.82%	0.42%
301	Abraham Lincoln	/wiki/Abraham_Lincoln		Symbol support vote.svg							Featured article star - cross.svg		Padlock-silver.svg	Padlock-olive.svg	110,639	55.76%	0.74%
302	Mona Lisa	/wiki/Mona_Lisa				Symbol b class.svg	Symbol c class.svg					Symbol unsupport vote.svg	Padlock-silver.svg		110,487	60.53%	1.26%
303	Valerian and the City of a Thousand Planets	/wiki/Valerian_and_the_City_of_a_Thousand_Planets					Symbol c class.svg								110,360	50.13%	0.77%
304	Louise Linton	/wiki/Louise_Linton						Symbol start class.svg							109,992	54.32%	0.09%
305	Punisher	/wiki/Punisher					Symbol c class.svg			Symbol question.svg					109,969	66.38%	0.21%
306	List of UFC events	/wiki/List_of_UFC_events													109,962	47.34%	0.31%
307	Grey's Anatomy	/wiki/Grey%27s_Anatomy		Symbol support vote.svg											109,740	57.51%	0.40%
308	List of highest-grossing Indian films	/wiki/List_of_highest-grossing_Indian_films											Padlock-blue.svg		109,707	73.79%	1.97%
309	Emmerson Mnangagwa	/wiki/Emmerson_Mnangagwa						Symbol start class.svg	Symbol stub class.svg						109,545	41.88%	3.13%
310	Zimbabwe National Army	/wiki/Zimbabwe_National_Army					Symbol c class.svg								109,479	43.63%	2.15%
311	The Big Bang Theory	/wiki/The_Big_Bang_Theory					Symbol c class.svg						Padlock-silver.svg		109,341	48.40%	0.51%
312	California Proposition 218 (1996)	/wiki/California_Proposition_218_(1996)				Symbol b class.svg									109,309	0.11%	0.00%
313	Prince Philip, Duke of Edinburgh	/wiki/Prince_Philip,_Duke_of_Edinburgh				Symbol b class.svg									109,145	70.16%	0.41%
314	Tupac Shakur	/wiki/Tupac_Shakur				Symbol b class.svg	Symbol c class.svg					Symbol unsupport vote.svg			109,112	67.72%	1.87%
315	Liz Smith (journalist)	/wiki/Liz_Smith_(journalist)						Symbol start class.svg							109,009	45.05%	0.36%
316	Germany	/wiki/Germany	Featured article star.svg										Padlock-silver.svg	Padlock-olive.svg	109,008	44.91%	1.24%
317	List of most expensive paintings	/wiki/List_of_most_expensive_paintings													108,959	44.96%	0.76%
318	Deadpool 2	/wiki/Deadpool_2					Symbol c class.svg								108,890	50.28%	0.48%
319	Jigsaw (2017 film)	/wiki/Jigsaw_(2017_film)						Symbol start class.svg							108,653	60.14%	0.50%
320	Pink (singer)	/wiki/Pink_(singer)					Symbol c class.svg						Padlock-silver.svg		108,443	56.16%	0.33%
321	This Is Us (TV series)	/wiki/This_Is_Us_(TV_series)						Symbol start class.svg							108,420	57.00%	0.32%
322	William Shakespeare	/wiki/William_Shakespeare	Featured article star.svg										Padlock-silver.svg		108,312	55.18%	1.11%
323	Tom Cruise	/wiki/Tom_Cruise				Symbol b class.svg							Padlock-silver.svg	Padlock-olive.svg	108,005	71.34%	0.83%
324	Justice League	/wiki/Justice_League					Symbol c class.svg								107,901	63.03%	0.56%
325	Tom Hanks	/wiki/Tom_Hanks				Symbol b class.svg							Padlock-silver.svg	Padlock-olive.svg	107,469	72.95%	0.41%
326	List of macOS components	/wiki/List_of_macOS_components								Symbol question.svg					107,278	0.15%	0.00%
327	Golmaal Again	/wiki/Golmaal_Again						Symbol start class.svg					Padlock-silver.svg		107,264	75.78%	1.86%
328	Jon Bernthal	/wiki/Jon_Bernthal						Symbol start class.svg							107,027	63.52%	0.24%
329	Philippines	/wiki/Philippines		Symbol support vote.svg									Padlock-silver.svg	Padlock-olive.svg	106,975	52.79%	0.74%
330	Mel Gibson	/wiki/Mel_Gibson				Symbol b class.svg							Padlock-silver.svg	Padlock-olive.svg	106,806	69.37%	0.40%
331	Meghan Markle	/wiki/Meghan_Markle					Symbol c class.svg								106,684	74.33%	0.36%
332	XXX (2002 film)	/wiki/XXX_(2002_film)					Symbol c class.svg								106,640	79.50%	13.25%
333	Singapore	/wiki/Singapore				Symbol b class.svg	Symbol c class.svg						Padlock-silver.svg	Padlock-olive.svg	106,532	48.90%	1.06%
334	Mary, Queen of Scots	/wiki/Mary,_Queen_of_Scots	Featured article star.svg												106,286	72.20%	0.23%
335	Sunny Leone	/wiki/Sunny_Leone				Symbol b class.svg							Padlock-silver.svg		106,278	81.05%	2.80%
336	Shilpa Shinde	/wiki/Shilpa_Shinde								Symbol question.svg					106,111	86.03%	0.58%
337	Miley Cyrus	/wiki/Miley_Cyrus		Symbol support vote.svg									Padlock-silver.svg	Padlock-olive.svg	105,988	74.29%	0.61%
338	Ted Bundy	/wiki/Ted_Bundy		Symbol support vote.svg									Padlock-silver.svg	Padlock-olive.svg	105,900	69.60%	0.20%
339	Sophia (robot)	/wiki/Sophia_(robot)					Symbol c class.svg			Symbol question.svg			Padlock-silver.svg		105,876	32.99%	0.62%
340	Sally Hayfron	/wiki/Sally_Hayfron					Symbol c class.svg								105,782	55.16%	3.67%
341	[[Beyonc��]]													105,737	58.86%	1.34%
342	Tom Hardy	/wiki/Tom_Hardy					Symbol c class.svg								105,265	71.64%	0.38%
343	Gwen Stefani	/wiki/Gwen_Stefani	Featured article star.svg												105,157	70.88%	0.39%
344	UFC 219	/wiki/UFC_219							Symbol stub class.svg				Padlock-silver.svg		105,130	57.38%	0.28%
345	Dhiban, Jordan	/wiki/Dhiban,_Jordan						Symbol start class.svg							104,943	0.02%	0.00%
346	Charles, Prince of Wales	/wiki/Charles,_Prince_of_Wales				Symbol b class.svg	Symbol c class.svg						Padlock-silver.svg	Padlock-olive.svg	104,917	65.68%	0.64%
347	Jeff Bezos	/wiki/Jeff_Bezos					Symbol c class.svg								104,611	53.82%	0.78%
348	Zack Snyder	/wiki/Zack_Snyder					Symbol c class.svg						Padlock-silver-light.svg		104,420	55.26%	0.45%
349	Idris Elba	/wiki/Idris_Elba				Symbol b class.svg									103,974	74.02%	0.80%
350	Lady Bird (film)	/wiki/Lady_Bird_(film)						Symbol start class.svg							103,704	51.68%	0.13%
351	Alexa Vega	/wiki/Alexa_Vega						Symbol start class.svg							103,317	87.22%	0.12%
352	Scarlett Johansson	/wiki/Scarlett_Johansson		Symbol support vote.svg									Padlock-silver.svg	Padlock-olive.svg	103,260	71.30%	0.83%
353	Nicki Minaj	/wiki/Nicki_Minaj		Symbol support vote.svg									Padlock-silver.svg		102,709	66.20%	2.02%
354	Japan	/wiki/Japan	Featured article star.svg										Padlock-silver.svg	Padlock-olive.svg	102,643	44.18%	1.15%
355	Peaky Blinders	/wiki/Peaky_Blinders						Symbol start class.svg		Symbol question.svg					102,614	71.54%	0.10%
356	Aquaman	/wiki/Aquaman				Symbol b class.svg							Padlock-silver-light.svg		102,475	66.16%	0.48%
357	Darkseid	/wiki/Darkseid					Symbol c class.svg								101,974	61.44%	0.43%
358	Children's Day	/wiki/Children%27s_Day					Symbol c class.svg								101,949	72.23%	0.65%
359	Shawn Mendes	/wiki/Shawn_Mendes					Symbol c class.svg						Padlock-silver.svg		101,873	69.83%	0.98%
360	Elizabeth I of England	/wiki/Elizabeth_I_of_England	Featured article star.svg										Padlock-silver.svg	Padlock-olive.svg	101,577	54.61%	0.41%
361	Ryan Gosling	/wiki/Ryan_Gosling		Symbol support vote.svg									Padlock-silver.svg		101,476	72.03%	0.52%
362	The Flash (season 4)	/wiki/The_Flash_(season_4)													101,219	51.49%	1.49%
363	Edward Mordake	/wiki/Edward_Mordake						Symbol start class.svg							101,090	73.39%	0.67%
364	UFC 218	/wiki/UFC_218							Symbol stub class.svg				Padlock-silver.svg		100,949	56.16%	0.29%
365	Pornography	/wiki/Pornography					Symbol c class.svg						Padlock-silver.svg	Padlock-olive.svg	100,930	68.28%	5.85%
366	Rose McGowan	/wiki/Rose_McGowan					Symbol c class.svg						Padlock-silver.svg		100,886	67.17%	0.15%
367	Freddie Mercury	/wiki/Freddie_Mercury		Symbol support vote.svg									Padlock-silver.svg	Padlock-olive.svg	100,884	66.30%	0.30%
368	Terry Crews	/wiki/Terry_Crews						Symbol start class.svg					Padlock-silver-light.svg		100,828	65.33%	0.23%
369	Joseph Stalin	/wiki/Joseph_Stalin				Symbol b class.svg	Symbol c class.svg						Padlock-silver.svg	Padlock-olive.svg	100,733	54.27%	0.48%
370	Assassin's Creed	/wiki/Assassin%27s_Creed				Symbol b class.svg									100,596	55.49%	0.52%
371	Split (2016 American film)	/wiki/Split_(2016_American_film)					Symbol c class.svg								100,585	71.26%	0.50%
372	Julia Roberts	/wiki/Julia_Roberts					Symbol c class.svg						Padlock-silver-light.svg	Padlock-olive.svg	100,312	75.81%	0.53%
373	Things Fall Apart	/wiki/Things_Fall_Apart					Symbol c class.svg								99,883	26.90%	0.45%
374	NXT TakeOver: WarGames	/wiki/NXT_TakeOver:_WarGames													99,783	60.93%	0.69%
375	Wonder Woman	/wiki/Wonder_Woman				Symbol b class.svg									99,709	65.04%	0.50%
376	Michelle Pfeiffer	/wiki/Michelle_Pfeiffer		Symbol support vote.svg											99,602	72.89%	0.36%
377	John Cena	/wiki/John_Cena		Symbol support vote.svg									Padlock-silver.svg	Padlock-olive.svg	99,570	69.55%	1.64%
378	Mark Zuckerberg	/wiki/Mark_Zuckerberg				Symbol b class.svg							Padlock-silver.svg	Padlock-olive.svg	99,560	46.41%	1.32%
379	Alexander the Great	/wiki/Alexander_the_Great		Symbol support vote.svg									Padlock-silver.svg	Padlock-olive.svg	99,412	61.69%	0.75%
380	Generation X	/wiki/Generation_X					Symbol c class.svg						Padlock-silver.svg		99,098	65.17%	0.19%
381	Michael Dapaah	/wiki/Michael_Dapaah								Symbol question.svg			Padlock-silver.svg		98,937	50.91%	1.94%
382	Manson Family	/wiki/Manson_Family								Symbol question.svg					98,932	61.71%	0.18%
383	Keith Barron	/wiki/Keith_Barron						Symbol start class.svg	Symbol stub class.svg						98,903	58.32%	0.04%
384	Frilled shark	/wiki/Frilled_shark		Symbol support vote.svg											98,760	54.62%	0.16%
385	Grey's Anatomy (season 14)	/wiki/Grey%27s_Anatomy_(season_14)						Symbol start class.svg							98,678	56.24%	0.61%
386	List of Arrow episodes	/wiki/List_of_Arrow_episodes													98,587	38.42%	0.97%
387	List of most-viewed YouTube videos	/wiki/List_of_most-viewed_YouTube_videos											Padlock-silver.svg		98,418	44.21%	0.94%
388	Cillian Murphy	/wiki/Cillian_Murphy	Featured article star.svg												98,141	76.21%	0.14%
389	ASEAN Summit	/wiki/ASEAN_Summit						Symbol start class.svg							98,030	64.07%	0.26%
390	Alexander Hamilton	/wiki/Alexander_Hamilton		Symbol support vote.svg									Padlock-silver.svg		97,900	59.14%	0.10%
391	Migos	/wiki/Migos						Symbol start class.svg					Padlock-silver.svg		97,705	64.63%	1.45%
392	Veterans Day	/wiki/Veterans_Day					Symbol c class.svg	Symbol start class.svg					Padlock-silver.svg		97,681	68.05%	0.15%
393	Ryan Reynolds	/wiki/Ryan_Reynolds					Symbol c class.svg								97,352	71.91%	0.70%
394	Assassin's Creed Origins	/wiki/Assassin%27s_Creed_Origins					Symbol c class.svg								97,186	56.38%	0.54%
395	Sally Field	/wiki/Sally_Field					Symbol c class.svg								97,003	72.92%	0.04%
396	Channel S	/wiki/Channel_S					Symbol c class.svg	Symbol start class.svg							96,737	77.26%	0.10%
397	South Africa	/wiki/South_Africa					Symbol c class.svg				Featured article star - cross.svg		Padlock-silver.svg	Padlock-olive.svg	96,659	51.59%	2.26%
398	Roman Polanski	/wiki/Roman_Polanski				Symbol b class.svg	Symbol c class.svg			Symbol question.svg			Padlock-silver.svg	Padlock-olive.svg	96,655	61.07%	0.15%
399	Joe Manganiello	/wiki/Joe_Manganiello						Symbol start class.svg							96,370	64.19%	0.39%
400	List of Star vs. the Forces of Evil episodes	/wiki/List_of_Star_vs._the_Forces_of_Evil_episodes													96,268	44.76%	0.14%
401	Mile Jedinak	/wiki/Mile_Jedinak						Symbol start class.svg					Padlock-silver.svg		96,150	63.67%	0.43%
402	[[Zlatan Ibrahimovi��]]													96,068	65.55%	1.89%
403	Hugh Grant	/wiki/Hugh_Grant		Symbol support vote.svg											95,616	79.79%	0.17%
404	NATO phonetic alphabet	/wiki/NATO_phonetic_alphabet					Symbol c class.svg								95,614	50.23%	0.38%
405	Bhutan	/wiki/Bhutan					Symbol c class.svg				Featured article star - cross.svg			Padlock-olive.svg	95,557	19.48%	0.33%
406	Rita Ora	/wiki/Rita_Ora					Symbol c class.svg						Padlock-silver.svg		95,277	72.36%	0.78%
